short_name,long_name,dob,club,overall,potential,value_eur,wage_eur,team_position,preferred_foot,influencer
I. Lučić,IVAN LUČIĆ,1995-03-23,FK Austria Wien,. 66   ,71,650000,3000,GK,Right,False
D. Del Fabro,Dario del fabro,1995-03-24,Juventus,. 66   ,71,775000,18000,RES,Right,False
S. Al Shehri,saleh khalid al shehri,1993-11-01,Al Raed,. 66   ,71,875000,7000,SUB,Right,False
M. Palmer,matthew palmer,1995-02-27,Bradford City,. 66   ,71,850000,5000,LCM,Right,False
L. Hufnagel,LUCAS HUFNAGEL,1994-01-29,SpVgg Unterhaching,. 66   ,71,850000,2000,RDM,Right,False
D. Gape,dominic gape,1994-09-09,Wycombe Wanderers,. 66   ,71,850000,2000,CDM,Right,False
T. Al Absi,talal al absi,1993-02-22,Al Taawoun,. 66   ,71,750000,7000,LCB,Right,False
K. Pedersen,KASPER PEDERSEN,1993-01-13,Aalborg BK,. 66   ,71,750000,4000,LCB,Right,False
A. Salazar,ÁLVARO LUIS SALAZAR BRAVO,1993-03-24,CD Universidad de Concepción,. 66   ,71,625000,1000,SUB,Right,False
L. Pavez Muñoz,luis alberto pavez muñoz,1995-09-17,Unión Española,. 66   ,71,750000,2000,SUB,Left,False
G. Iñíguez,gaspar emanuel iñíguez,1994-03-26,Udinese,. 66   ,71,850000,5000,RES,Right,False
D. Islamovic,Dino islamovic,1994-01-17,Östersunds FK,. 66   ,71,875000,2000,ST,Left,False
A. Tshibola,Aaron tshibola,1995-01-02,Aston Villa,. 66   ,71,850000,13000,RES,Right,False
S. Gregersen,stian rode gregersen,1995-05-17,IF Elfsborg,. 66   ,71,775000,2000,RCB,Right,False
Flávio,FLÁVIO DA SILVA RAMOS,1994-05-12,Gençlerbirliği SK,. 66   ,71,775000,5000,RCB,Right,False
Ángel Galván,ÁNGEL JESÚS GALVÁN RIVERO,1993-04-16,CD Tenerife,. 66   ,71,625000,2000,RES,Right,False
C. Omoigui,cedric omoigui,1994-11-11,Royal Excel Mouscron,. 66   ,71,875000,4000,SUB,Left,False
D. Camara,Demba camara,1994-11-07,ESTAC Troyes,. 66   ,71,875000,3000,SUB,Right,False
A. Lundqvist,Adam lundqvist,1994-03-20,Houston Dynamo,. 66   ,71,750000,2000,LB,Left,False
E. Gómez,elias gómez,1994-06-09,Argentinos Juniors,. 66   ,71,750000,3000,LB,Left,False
H. Zapata,WILLIAM ZAPATA BRAND,1995-02-11,Millonarios FC,. 66   ,71,850000,1000,RM,Right,False
S. Filip,steliano  filip,1994-05-15,FC Viitorul,. 66   ,71,750000,3000,LB,Left,False
M. Asenjo,MAURICIO ASENJO,1994-07-23,Club Atlético Banfield,. 66   ,71,875000,4000,RES,Right,False
G. Zajkov,gjoko zajkov,1995-02-10,Sporting de Charleroi,. 66   ,71,775000,4000,RES,Right,False
S. Ernst,Sebastian ernst,1995-03-04,SpVgg Greuther Fürth,. 66   ,71,850000,3000,SUB,Left,False
N. Mbemba,nolan mbemba,1995-02-19,Stade de Reims,. 66   ,71,850000,7000,SUB,Right,False
A. Capello,alessandro capello,1995-12-12,Venezia FC,. 66   ,71,875000,1000,RS,Right,False
O. Zawada,Oskar zawada,1996-02-01,Wisła Płock,. 66   ,71,875000,2000,ST,Right,False
Li Ang,李昂,1993-09-15,Jiangsu Suning FC,. 66   ,71,775000,5000,LCB,Right,False
M. Frey,MARLON FREY,1996-03-24,SV Sandhausen,. 66   ,71,775000,2000,SUB,Right,False
J. Düker,JULIUS DÜKER,1996-01-04,SV Meppen,. 66   ,71,875000,1000,ST,Left,False
B. Çamoğlu,Burak çamoğlu,1996-10-05,Karlsruher SC,. 66   ,71,850000,4000,RM,Right,False
L. Andrenacci,Lorenzo andrenacci,1995-01-02,Brescia,. 66   ,71,650000,3000,SUB,Right,False
H. Hajradinović,haris hajradinović,1994-02-18,Kasimpaşa SK,. 66   ,71,850000,4000,SUB,Left,False
J. Obrian,JÁDER RAFAEL OBRIAN ARIAS,1995-05-18,Rionegro Águilas,. 66   ,71,850000,1000,RM,Right,False
A. Soto,Almir soto,1994-07-17,Patriotas Boyacá FC,. 66   ,71,750000,1000,LDM,Right,False
Alberto Varo,alberto varó lara,1993-03-18,CD Lugo,. 66   ,71,625000,2000,GK,Right,False
A. Olliero,ALEXANDRE OLLIERO,1996-02-15,FC Nantes,. 66   ,71,650000,4000,SUB,Right,False
K. Koizumi,小泉 庆,1995-04-19,Kashima Antlers,. 66   ,71,750000,2000,SUB,Right,False
P. Diaw,El hadji pape djibril diaw,1994-12-31,Stade Malherbe Caen,. 66   ,71,775000,2000,LCB,Left,False
K. Malinov,KRISTIYAN MALINOV,1994-03-30,Bulgaria,. 66   ,71,0,0,,Right,False
T. Szántó,tAMÁS SZÁNTÓ,1996-02-18,SK Rapid Wien,. 66   ,71,850000,5000,SUB,Right,False
S. N'Guessan,SERGE YAO N’GUESSAN,1994-07-31,AS Nancy Lorraine,. 66   ,71,850000,2000,LCM,Right,False
J. Chaverra,juan camilo chaverra martínez,1992-12-12,Cúcuta Deportivo,. 66   ,71,625000,1000,GK,Right,False
K. Fukai,深井 一希,1995-03-11,Hokkaido Consadole Sapporo,. 66   ,71,850000,2000,SUB,Right,False
J. Nietfeld,jonas nietfeld,1994-01-15,Hallescher FC,. 66   ,71,875000,2000,LS,Right,False
I. Paro,issouf paro,1994-10-16,Chamois Niortais Football Club,. 66   ,71,775000,2000,RCB,Right,False
M. Hamdy,MOHAMED  HAMDY SHARAF,1995-06-01,Egypt,. 66   ,71,0,0,,Right,False
Gustavo Cascardo,GUSTAVO CASCARDO DE ASSIS,1997-03-24,Vitória de Setúbal,. 66   ,71,750000,2000,RES,Right,False
M. Fischer,MANFRED FISCHER,1995-08-06,SCR Altach,. 66   ,71,850000,4000,CAM,Left,False
Juan Hernández,juan hernández garcía,1994-12-06,RC Celta,. 66   ,71,850000,6000,RES,Left,False
Robinho,ROBINHO BARBOSA DE LISBOA,1995-01-19,Orlando City SC,. 66   ,71,850000,2000,SUB,Right,False
V. Bondarenko,valeriy bondarenko,1994-02-03,Vitória Guimarães,. 66   ,71,775000,3000,SUB,Right,False
M. Căpățînă,MIHAI CĂPĂȚÎNĂ,1995-12-16,FC Voluntari,. 66   ,71,850000,2000,RDM,Right,False
Manu Sánchez,manuel sánchez garcía,1996-03-24,CD Tondela,. 66   ,71,750000,2000,SUB,Right,False
B. Mladenovic,Bogdan mladenovic,1996-04-04,Gil Vicente FC,. 66   ,71,850000,3000,RES,Left,False
G. Burke,Graham burke,1993-09-21,Shamrock Rovers,. 66   ,70,825000,1000,SUB,Left,False
T. Holý,Tomáš holý,1991-12-10,Ipswich Town,. 66   ,70,575000,3000,GK,Right,False
A. Jackson,Adam jackson,1994-05-18,Hibernian,. 66   ,70,750000,2000,RCB,Right,False
Y. Brecher,YANICK BRECHER,1993-05-25,FC Zürich,. 66   ,70,600000,3000,GK,Right,False
G. Hubert,guillaume hubert,1994-01-11,KSV Cercle Brugge,. 66   ,70,625000,3000,SUB,Right,False
S. Sluga,SIMON SLUGA,1993-03-17,Luton Town,. 66   ,70,600000,4000,GK,Right,False
A. Grant,aLEXANDER GRANT,1994-01-23,Perth Glory,. 66   ,70,750000,2000,LCB,Left,False
C. Martschinko,CHRISTOPH MARTSCHINKO,1994-02-13,FK Austria Wien,. 66   ,70,725000,5000,SUB,Left,False
J. Rafferty,JOE RAFFERTY,1993-10-06,Preston North End,. 66   ,70,725000,7000,SUB,Right,False
Derik,derik osede prieto,1993-02-21,CD Numancia,. 66   ,70,750000,3000,RCB,Right,False
M. Schmerböck,Marc andre schmerböck,1994-04-01,Wolfsberger AC,. 66   ,70,850000,5000,SUB,Left,False
P. Drewes,Patrick drewes,1993-02-04,VfL Bochum 1848,. 66   ,70,600000,4000,SUB,Right,False
L. Kassi,Luc kassi,1994-08-20,Stabæk Fotball,. 66   ,70,850000,1000,LCM,Right,False
M. Heylen,Michaël heylen,1994-01-03,SV Zulte-Waregem,. 66   ,70,750000,4000,SUB,Right,False
D. Bakker,Danny bakker,1995-01-16,ADO Den Haag,. 66   ,70,750000,2000,CDM,Left,False
Ham Seok Min,함석민 咸胜明,1994-02-14,Gangwon FC,. 66   ,70,625000,1000,SUB,Right,False
J. Rothwell,joe rothwell,1995-01-11,Blackburn Rovers,. 66   ,70,850000,6000,SUB,Right,False
C. Mancilla,cAMILO JAVIER MANCILLA VALENCIA,1993-03-26,Atlético Bucaramanga,. 66   ,70,725000,1000,LCB,Right,False
J. Bandowski,Jannik bandowski,1994-03-30,SpVgg Unterhaching,. 66   ,70,725000,2000,LB,Left,False
E. Monthe,eMMANUEL MONTHE,1995-01-26,Tranmere Rovers,. 66   ,70,750000,2000,LCB,Left,False
I. Alba,ISRAEL ALBA MARÍN,1995-05-06,Patriotas Boyacá FC,. 66   ,70,750000,1000,RB,Right,False
F. Friday,IMOH FRED FRIDAY,1995-05-22,AZ Alkmaar,. 66   ,70,850000,3000,SUB,Right,False
C. Flórez,CRISTIAN FLÓREZ,1994-12-30,Deportivo Pasto,. 66   ,70,750000,1000,RES,Left,False
G. Paquiez,Gaëtan paquiez,1994-02-15,Nîmes Olympique,. 66   ,70,725000,6000,SUB,Left,False
Marcelo Djaló,marcelo amado djaló taritolay,1993-10-08,Fulham,. 66   ,70,750000,10000,RES,Right,False
J. von Haacke,JULIAN VON HAACKE,1994-02-14,SV Darmstadt 98,. 66   ,70,825000,6000,RES,Left,False
Ryu Seung Woo,류승우 柳承佑,1993-12-17,Sangju Sangmu FC,. 66   ,70,825000,2000,CAM,Right,False
Son Jeong Hyeon,손정현 jeong hyeon son,1991-11-25,Gyeongnam FC,. 66   ,70,575000,2000,SUB,Left,False
Liao Lisheng,廖力生,1993-04-29,Tianjin Quanjian FC,. 66   ,70,750000,6000,SUB,Right,False
B. Ould-Chikh,bilal  ould-chikh,1997-07-28,ADO Den Haag,. 66   ,70,850000,3000,SUB,Left,False
N. Datković,Niko datković,1993-04-21,Cracovia,. 66   ,70,725000,2000,SUB,Right,False
G. Lloris,GAUTIER LLORIS,1995-07-18,OGC Nice,. 66   ,70,750000,7000,RES,Left,False
Kang Sang Woo,강상우 姜祥佑,1993-10-07,Sangju Sangmu FC,. 66   ,70,725000,1000,RB,Right,False
P. Lemonnier,PIERRE LEMONNIER,1993-07-06,Le Mans FC,. 66   ,70,750000,2000,RCB,Right,False
E. Ekpolo,elohor godswill ekpolo,1995-05-14,BK Häcken,. 66   ,70,750000,1000,RB,Right,False
F. Perucchini,Filippo perucchini,1991-10-06,Empoli,. 66   ,70,575000,1000,RES,Left,False
He Guan,贺惯,1993-01-25,Shanghai SIPG FC,. 66   ,70,725000,5000,CB,Right,False
F. Belli,francesco belli,1994-03-16,Pisa,. 66   ,70,725000,1000,SUB,Right,False
J. Hendry,JACK HENDRY,1995-05-07,Celtic,. 66   ,70,750000,11000,SUB,Right,False
J. Arias,jafar arias,1995-06-16,FC Emmen,. 66   ,70,850000,2000,SUB,Right,False
J. Da Silva,jhony alexander da silva sosa,1991-08-21,Cúcuta Deportivo,. 66   ,70,575000,1000,SUB,Right,False
R. Rebolledo,Raimundo rebolledo,1997-05-14,Universidad Católica,. 66   ,70,750000,3000,SUB,Right,False
S. Reese,søren reese,1993-07-29,FC Midtjylland,. 66   ,70,750000,6000,SUB,Left,False
Hugo Gomes,Hugo domingos gomes,1995-01-04,Famalicão,. 66   ,70,750000,3000,RES,Right,False
A. Gasbarro,ANDREA GASBARRO,1995-01-07,Livorno,. 66   ,70,750000,1000,LM,Left,False
Jesiel,Jesiel cardoso miranda,1994-03-05,Kawasaki Frontale,. 66   ,70,750000,3000,RCB,Right,False
D. Widgren,dennis widgren,1994-03-28,Hammarby IF,. 66   ,70,725000,2000,LB,Left,False
J. Aguirre,JAMES AGUIRRE,1992-05-21,Atlético Bucaramanga,. 66   ,70,575000,1000,SUB,Right,False
T. Sekine,関根 貴大,1995-04-19,Urawa Red Diamonds,. 66   ,70,850000,3000,LM,Right,False
Vitor Costa,vitor costa de brito,1994-07-01,Racing Club de Lens,. 66   ,70,725000,3000,SUB,Left,False
L. Crepulja,ljuban crepulja,1993-09-02,Astra Giurgiu,. 66   ,70,750000,3000,LCM,Left,False
Kim Min Tae,김민태 金眠泰,1993-11-26,Hokkaido Consadole Sapporo,. 66   ,70,750000,2000,CB,Right,False
D. Schmidt,Héctor damián schmidt,1992-12-07,Club Atlético Colón,. 66   ,70,725000,4000,RES,Right,False
T. Hasegawa,長谷川 龍也,1994-03-07,Kawasaki Frontale,. 66   ,70,825000,3000,SUB,Right,False
P. Kurzweg,PETER KURZWEG,1994-02-10,FC Ingolstadt 04,. 66   ,70,725000,2000,RB,Left,False
H. Balic,Husein balic,1996-02-15,SKN St. Pölten,. 66   ,70,850000,4000,RS,Right,False
Pité,LUÍS PEDRO DE FREITAS PINTO TRABULO,1994-08-22,CD Tondela,. 66   ,70,750000,2000,SUB,Left,False
Pablo Larrea,pablo larrea gambara,1994-02-04,SD Ponferradina,. 66   ,70,750000,3000,SUB,Right,False
V. Kovačević,vladimir kovačević,1992-11-11,KV Kortrijk,. 66   ,70,725000,4000,SUB,Right,False
T. Boss,Tim boss,1993-06-28,SG Dynamo Dresden,. 66   ,70,600000,4000,RES,Right,False
L. Röser,Lucas röser,1993-12-28,SG Dynamo Dresden,. 66   ,70,850000,6000,RES,Right,False
A. Absalem,aMIR ABSALEM,1997-06-19,FC Groningen,. 66   ,70,750000,3000,LB,Left,False
B. Boulahroud,Badr boulahroud,1993-04-21,Málaga CF,. 66   ,70,750000,3000,CDM,Right,False
M. Barać,Mateo barać,1994-07-20,SK Rapid Wien,. 66   ,70,750000,4000,SUB,Left,False
R. Yaslam,Rayan yaslam,1994-11-23,Al Ain FC,. 66   ,70,850000,1000,SUB,Left,False
R. Boissier,REMY BOISSIER,1994-02-22,Le Mans FC,. 66   ,70,825000,2000,RDM,Right,False
Son,FCO. JAVIER HIDALGO GÓMEZ,1994-03-30,SD Ponferradina,. 66   ,70,725000,3000,RB,Right,False
Simão Bertelli,simão verza bertelli,1993-07-02,FC Paços de Ferreira,. 66   ,70,625000,2000,SUB,Right,False
J. Walsh,JOE WALSH,1992-05-13,Milton Keynes Dons,. 66   ,69,700000,3000,LCB,Left,False
A. Østbø,ARILD ØSTBØ,1991-04-19,Rosenborg BK,. 66   ,69,575000,2000,SUB,Right,False
E. Barli,Even barli,1991-07-24,Ranheim Fotball,. 66   ,69,575000,1000,GK,Right,False
M. Amini,mUSTAFA AMINI,1993-04-20,Aarhus GF,. 66   ,69,775000,4000,RCM,Right,False
M. Djuricin,MARCO DJURICIN,1992-12-12,Karlsruher SC,. 66   ,69,825000,5000,SUB,Right,False
Campabadal,EDUARD CAMPABADAL CLAROS,1993-01-26,CD Lugo,. 66   ,69,700000,3000,SUB,Right,False
K. Haraldseid,Kristoffer haraldseid,1994-01-17,Molde FK,. 66   ,69,700000,2000,RB,Right,False
N. Næss,nicolai næss,1993-01-18,Sarpsborg 08 FF,. 66   ,69,725000,2000,LCB,Right,False
A. Woodyard,alex woodyard,1992-11-16,Peterborough United,. 66   ,69,775000,4000,RCM,Right,False
Lee Jong Sung,이종성 李忠成,1992-08-05,Suwon Samsung Bluewings,. 66   ,69,725000,2000,RES,Right,False
R. Jansson,ROBIN JANSSON,1991-11-15,Orlando City SC,. 66   ,69,700000,2000,LCB,Left,False
S. Carruthers,Samir  carruthers,1993-04-04,Sheffield United,. 66   ,69,800000,10000,RES,Right,False
D. Skhirtladze,DAVIT SKHIRTLADZE,1993-03-16,Arka Gdynia,. 66   ,69,825000,2000,SUB,Left,False
C. Wyke,charlie wyke,1992-12-06,Sunderland,. 66   ,69,825000,5000,SUB,Right,False
R. Williams,Ryan williams,1993-10-28,Portsmouth,. 66   ,69,800000,4000,SUB,Right,False
J. Espericueta,jorge jonathan espericueta escamilla,1994-08-09,Puebla FC,. 66   ,69,800000,2000,SUB,Left,False
A. Forde,anthony forde,1993-11-16,Oxford United,. 66   ,69,800000,3000,SUB,Right,False
I. Vassell,Isaac vassell,1993-09-09,Cardiff City,. 66   ,69,825000,9000,SUB,Right,False
C. Thompson,CURTIS THOMPSON,1993-09-02,Wycombe Wanderers,. 66   ,69,800000,3000,SUB,Right,False
M. Chacón,MICHAEL STEVEN CHACÓN IBARGÜEN,1994-04-11,FC Emmen,. 66   ,69,725000,2000,LDM,Right,False
Y. Mbone,YANNICK MBONE,1993-04-16,La Berrichonne de Châteauroux,. 66   ,69,725000,2000,LCB,Right,False
A. Sané,abdoulaye sané,1992-10-15,FC Sochaux-Montbéliard,. 66   ,69,825000,2000,ST,Right,False
K. Mayi,KÉVIN MAYI,1993-01-14,Stade Brestois 29,. 66   ,69,825000,6000,SUB,Right,False
T. Vion,thibaut  vion,1993-12-11,Chamois Niortais Football Club,. 66   ,69,700000,2000,SUB,Right,False
E. Zenga,ERIK ZENGA,1993-01-18,SV Sandhausen,. 66   ,69,775000,2000,RDM,Right,False
A. Uryga,ALAN URYGA,1994-02-19,Wisła Płock,. 66   ,69,725000,2000,LCB,Right,False
M. Benning,MALVIND BENNING,1993-11-02,Mansfield Town,. 66   ,69,700000,5000,LWB,Left,False
P. Weihrauch,patrick weihrauch,1994-03-03,DSC Arminia Bielefeld,. 66   ,69,800000,5000,SUB,Right,False
A. Rømer,André ibsen rømer,1993-07-18,Randers FC,. 66   ,69,800000,4000,LCM,Right,False
T. Peyre,THIBAULT PEYRE,1992-10-03,KV Mechelen,. 66   ,69,725000,4000,RCB,Right,False
L. Woudenberg,lucas woudenberg,1994-04-25,SC Heerenveen,. 66   ,69,700000,3000,LB,Left,False
M. Kopczyński,michał kopczyński,1992-06-15,Arka Gdynia,. 66   ,69,700000,2000,SUB,Right,False
D. Douline,DAVID DOULINE,1993-05-28,Rodez Aveyron Football,. 66   ,69,725000,2000,CM,Right,False
João Pedro,JOÃO PEDRO ALMEIDA MACHADO,1993-04-03,CD Tondela,. 66   ,69,775000,3000,RCM,Right,False
Miguel Oliveira,mIGUEL AIRES FERNANDES OLIVERA,1994-05-25,Vitória Guimarães,. 66   ,69,600000,2000,RES,Left,False
H. Mojica,harrison arley mojica betancourt,1993-02-17,Jaguares de Córdoba,. 66   ,69,800000,1000,CAM,Left,False
D. Giraldo,Daniel eduardo giraldo cárdenas,1992-07-01,Independiente Santa Fe,. 66   ,69,700000,1000,LCM,Right,False
E. Castañeda,EDER CASTAÑEDA BOTIA,1992-10-22,Deportivo Pasto,. 66   ,69,725000,1000,LCB,Right,False
H. Obando,HENRY YOSEINER OBANDO ESTACIO,1993-04-05,Cúcuta Deportivo,. 66   ,69,700000,1000,RB,Right,False
T. Albutat,TIM ALBUTAT,1992-09-23,MSV Duisburg,. 66   ,69,725000,1000,RDM,Right,False
M. Hofmann,Maximilian hofmann,1993-08-07,SK Rapid Wien,. 66   ,69,725000,5000,LCB,Right,False
J. Elsey,Jordan elsey,1994-03-02,Adelaide United,. 66   ,69,725000,1000,RCB,Right,False
J. Brondeel,JORN BRONDEEL,1993-07-09,FC Twente,. 66   ,69,600000,2000,SUB,Right,False
K. Vassell,kyle vassell,1993-02-07,Rotherham United,. 66   ,69,825000,4000,RW,Right,False
Lee Chan Dong,이찬동 李灿东,1993-01-10,Sangju Sangmu FC,. 66   ,69,775000,2000,SUB,Right,False
Woo Ju Sung,우주성 朱颂佑,1993-03-16,Gyeongnam FC,. 66   ,69,700000,2000,RB,Right,False
W. de la Rosa,WILFRIDO DE LA ROSA MENDOZA,1993-02-07,Deportivo Pasto,. 66   ,69,825000,1000,ST,Right,False
No Dong Geon,노동건 卢东件,1991-10-04,Suwon Samsung Bluewings,. 66   ,69,575000,2000,GK,Right,False
Sun Jie,孙捷,1992-01-01,Stabæk Fotball,. 66   ,69,700000,1000,SUB,Right,False
W. Norris,WILL NORRIS,1993-08-12,Ipswich Town,. 66   ,69,600000,3000,SUB,Left,False
M. Ballmert,MARKUS BALLMERT,1993-11-27,SV Meppen,. 66   ,69,700000,1000,RB,Right,False
Nuha,nuha marong krubally,1993-06-16,Racing Santander,. 66   ,69,825000,3000,SUB,Right,False
J. Bachmann,JANIK BACHMANN,1996-05-06,1. FC Kaiserslautern,. 66   ,69,750000,2000,CDM,Right,False
Ricardinho,RICARDO JOSÉ VEIGA VARZIM MIRANDA,1994-03-24,FC Voluntari,. 66   ,69,700000,2000,RB,Right,False
Fu Huan,傅欢,1993-07-12,Shanghai SIPG FC,. 66   ,69,700000,4000,SUB,Right,False
G. Alcalá,gil esaul alcalá barba,1992-07-29,Querétaro,. 66   ,69,575000,3000,GK,Right,False
D. Milinković,David milinković,1994-05-20,Hull City,. 66   ,69,800000,4000,SUB,Right,False
A. Empereur,ALAN EMPEREUR,1994-03-10,Hellas Verona,. 66   ,69,725000,4000,RES,Left,False
C. Dieng,CHEIKHOU DIENG,1993-11-23,Medipol Başakşehir FK,. 66   ,69,800000,10000,RES,Right,False
A. Al Obaid,Abdulrahman al obaid,1993-04-30,Al Nassr,. 66   ,69,700000,10000,LB,Left,False
S. Ugarković,steven peter  ugarković,1994-08-19,Newcastle Jets,. 66   ,69,750000,1000,LDM,Right,False
K. Matsubara,松原 健,1993-02-16,Yokohama F. Marinos,. 66   ,69,700000,2000,SUB,Right,False
Eduardo,Carlos eduardo bendini giusti,1993-04-27,Matsumoto Yamaga,. 66   ,69,725000,2000,SUB,Left,False
A. Sigurðarson,aron sigurðarson,1993-10-08,Iceland,. 66   ,69,0,0,,Right,False
Jang Ho Ik,장호익 张镐翼,1993-12-04,Sangju Sangmu FC,. 66   ,69,800000,2000,RES,Right,False
N. Maná,nicolás andrés maná,1994-04-25,Defensa y Justicia,. 66   ,69,800000,4000,SUB,Right,False
M. Massop,MILAN MASSOP,1993-12-01,Silkeborg IF,. 66   ,69,700000,3000,SUB,Left,False
A. Villete,ÁLVARO VILLETE MELGAR,1991-07-01,Patriotas Boyacá FC,. 66   ,69,575000,1000,SUB,Right,False
J. Żubrowski,jakub żubrowski,1992-03-21,Korona Kielce,. 66   ,69,700000,2000,RDM,Right,False
N. Rajsel,nicolas rajsel,1993-05-31,KV Oostende,. 66   ,69,825000,5000,SUB,Right,False
S. Schäfer,Steffen schäfer,1994-05-01,VVV-Venlo,. 66   ,69,725000,2000,LCB,Right,False
A. Czerwiński,Alan czerwiński,1993-02-02,Zagłębie Lubin,. 66   ,69,700000,2000,RM,Right,False
J. García,juan manuel garcía,1992-11-14,Arsenal de Sarandí,. 66   ,69,825000,4000,SUB,Right,False
J. Cascante,jULIO CÉSAR CASCANTE SOLÓRZANO,1993-10-03,Portland Timbers,. 66   ,69,725000,2000,SUB,Right,False
L. Ćirković,Lazar ćirković,1992-08-22,FC Luzern,. 66   ,69,725000,4000,LCB,Right,False
Luis Felipe,Luis felipe fernandes rodrigues,1996-01-29,San Jose Earthquakes,. 66   ,69,750000,2000,RES,Left,False
J. Mora,joseph martín mora cortéz,1993-01-15,DC United,. 66   ,69,700000,2000,SUB,Left,False
S. Guri,sindrit guri,1993-10-23,KV Oostende,. 66   ,69,825000,5000,SUB,Right,False
Manu García,MANUEL GARCÍA HUMANES,1991-02-11,SD Ponferradina,. 66   ,69,575000,2000,GK,Right,False
E. Vandenabeele,Éric vandenabeele,1991-12-16,Grenoble Foot 38,. 66   ,69,700000,2000,SUB,Right,False
A. Stephens,alfredo horacio stephens francis,1994-12-25,Santa Clara,. 66   ,69,825000,2000,SUB,Right,False
L. Paiva,LEANDRO PAIVA,1994-02-15,Argentinos Juniors,. 66   ,69,800000,4000,SUB,Left,False
O. Abdeldjelil,OUSSAMA ABDELDJELIL,1993-06-23,Paris FC,. 66   ,69,825000,3000,SUB,Right,False
A. Răuță,ALEXANDRU RĂUȚĂ,1992-06-17,Dinamo Bucureşti,. 66   ,69,700000,3000,SUB,Right,False
T. Tlolane,TEBOGO TLOLANE,1994-12-21,Orlando Pirates,. 66   ,69,725000,1000,SUB,Left,False
L. Parisi,LAUTARO PARISI,1994-03-22,Arsenal de Sarandí,. 66   ,69,825000,4000,RS,Right,False
M. Da Luz,mauro da luz,1994-09-05,Club Atlético Colón,. 66   ,69,825000,4000,RES,Right,False
A. Šimunec,ANDREJ ŠIMUNEC,1995-03-02,CD Aves,. 66   ,69,725000,3000,SUB,Right,False
Ernesto,ernesto gomez muñoz,1994-07-18,AD Alcorcón,. 66   ,69,825000,3000,RM,Left,False
R. Sandberg,Robert marcus sandberg,1990-11-07,Stabæk Fotball,. 66   ,68,550000,1000,GK,Right,False
B. Maubleu,brice maubleu,1989-12-01,Grenoble Foot 38,. 66   ,68,550000,2000,GK,Right,False
A. Boyle,Andrew boyle,1991-03-07,Dundalk,. 66   ,68,650000,1000,SUB,Left,False
M. Ehmer,Max ehmer,1992-02-03,Gillingham,. 66   ,68,675000,3000,RCB,Right,False
J. Słowik,jakub słowik,1991-08-31,Vegalta Sendai,. 66   ,68,550000,1000,GK,Right,False
J. Riedel,JULIAN RIEDEL,1991-08-10,FC Hansa Rostock,. 66   ,68,675000,2000,LCB,Right,False
J. Cousins,jordan cousins,1994-03-06,Stoke City,. 66   ,68,700000,8000,SUB,Right,False
J. Drost,Jesper drost,1993-01-11,Heracles Almelo,. 66   ,68,775000,3000,SUB,Left,False
Min Sang Gi,민상기 闵尚基,1991-08-27,Suwon Samsung Bluewings,. 66   ,68,675000,2000,SUB,Right,False
S. Wootton,Scott wootton,1991-09-12,Plymouth Argyle,. 66   ,68,675000,5000,RCB,Right,False
Pak Kwang Ryong,kWANG RYONG PAK,1992-09-27,SKN St. Pölten,. 66   ,68,800000,6000,SUB,Right,False
D. Pedersen,daniel alexander pedersen,1992-07-27,Lillestrøm SK,. 66   ,68,700000,2000,RCM,Right,False
Fernando,Fernando martínez rubio,1990-06-10,UD Almería,. 66   ,68,550000,2000,SUB,Right,False
C. Schoppenhauer,CLEMENS SCHOPPENHAUER,1992-02-23,Chemnitzer FC,. 66   ,68,675000,1000,LCB,Right,False
M. Fornasier,Michele fornasier,1993-08-22,Trapani,. 66   ,68,700000,1000,SUB,Right,False
T. Boere,Tom boere,1992-11-24,FC Twente,. 66   ,68,800000,4000,SUB,Right,False
F. Ladapo,fREDDIE LADAPO,1993-02-01,Rotherham United,. 66   ,68,800000,4000,LW,Right,False
Marquinhos Pedroso,MARCOS GARBELLOTTO PEDROSO,1993-10-04,DC United,. 66   ,68,675000,2000,SUB,Left,False
A. Al Salem,aBDULLAH AL SALEM,1992-12-19,Al Nassr,. 66   ,68,800000,11000,SUB,Right,False
I. Bulos,Iván bulos guerrero,1993-05-20,Boavista FC,. 66   ,68,800000,2000,SUB,Left,False
J. Donachie,James donachie,1993-05-14,Melbourne Victory,. 66   ,68,700000,3000,SUB,Right,False
S. Scherder,simon scherder,1993-04-02,SC Preußen Münster,. 66   ,68,700000,2000,LCB,Right,False
Luís Rocha,luís augusto martins rocha,1993-06-27,Legia Warszawa,. 66   ,68,675000,3000,SUB,Left,False
C. Vargas,CHRISTIAN VARGAS CORTÉS,1989-11-16,Atlético Bucaramanga,. 66   ,68,550000,1000,GK,Right,False
N. Freire,nicolás omar freire,1994-02-18,U.N.A.M.,. 66   ,68,700000,5000,RCB,Left,False
X. Schenk,Xandro schenk,1993-04-28,FC Twente,. 66   ,68,700000,3000,LCB,Left,False
D. Rienstra,dAAN RIENSTRA,1992-10-06,RKC Waalwijk,. 66   ,68,700000,2000,CDM,Right,False
P. Carlgren,Patrik ulf anders carlgren,1992-01-08,Randers FC,. 66   ,68,550000,3000,GK,Right,False
E. Gyasi,emmanuel gyasi,1994-01-11,Spezia,. 66   ,68,775000,2000,SUB,Right,False
